	target
2301	1
2686	1
785	0
517	1
7300	0
2219	0
8195	1
11397	1
10608	1
8225	0
7525	1
5171	1
9702	0
5642	1
8529	0
3933	1
9519	1
1534	1
1944	1
3075	1
6566	0
7927	1
11423	0
9828	0
5061	0
8608	1
6141	0
5669	0
6647	1
10666	0
8325	0
6148	0
9428	1
9485	1
513	0
7830	0
7013	1
1271	1
1832	0
5348	0
2002	0
8549	0
3162	1
1616	1
1920	0
10207	0
7075	1
7779	1
1301	1
5217	1
4219	0
9715	0
10868	0
4799	0
10779	1
5697	1
8894	0
9445	1
10070	0
10096	0
9804	1
9238	0
1873	1
11299	0
9109	1
7007	0
1866	1
2553	0
382	0
11106	1
10784	1
8912	0
10814	0
7778	0
7538	0
2616	1
3801	0
9958	1
5574	0
10336	1
858	1
6256	1
9941	0
8355	0
2072	0
1595	1
6597	0
4650	1
6826	1
7802	0
8221	1
8293	1
6068	0
705	1
8790	1
9758	0
123	0
3025	1
7210	0
1319	1
8510	0
8941	0
4576	0
2909	1
6908	1
10249	1
2622	0
1848	0
8104	1
2358	1
5395	0
551	0
2152	1
3982	0
3738	0
5596	1
8242	0
7106	1
1441	0
6421	0
10766	0
4190	0
5934	1
5660	1
7825	1
5865	0
4088	1
9967	1
528	1
5180	1
6312	1
2008	0
2710	0
3443	0
10973	1
2821	1
715	0
8358	1
1573	0
3187	0
9345	1
4639	1
760	0
6622	1
4365	1
1416	0
480	1
6216	0
8697	0
4896	0
1753	0
4308	0
6831	1
26	1
9036	0
5815	1
6584	0
2715	0
10210	1
6765	1
4736	1
3470	0
10381	1
7921	1
273	1
1095	1
10898	0
7870	1
2437	1
8537	0
2387	0
11368	1
4929	0
2435	0
3275	0
4733	1
10468	1
2767	0
2239	0
1274	0
11156	1
3228	0
4101	0
7775	1
4434	1
562	0
8149	1
7393	1
7937	1
7337	0
1931	1
7405	0
3691	1
4563	1
3122	0
33	0
6371	0
156	0
10000	1
215	1
7789	1
11280	1
3361	0
5649	1
5494	0
10911	0
10883	0
2438	0
3624	1
783	0
2841	1
360	1
5795	1
8662	0
6749	1
3288	0
1857	1
8134	0
4628	0
449	1
1964	1
3008	1
10929	0
5839	0
7173	1
4345	0
7535	1
5737	0
3084	0
8895	1
9437	0
7620	1
7888	1
1234	0
3123	0
4782	0
6898	1
811	0
9192	1
7387	0
4768	1
4933	0
7113	0
5089	1
7780	1
8526	1
417	0
2087	1
10253	1
4152	0
10092	1
2307	1
2133	0
5604	1
1809	0
2129	1
4426	1
10753	0
11053	0
6702	1
4244	0
4193	1
2965	0
9330	1
4766	1
4174	1
3091	1
10738	0
3219	0
1212	0
5978	1
866	1
4407	1
3236	0
8453	1
1268	1
8077	0
5197	1
6670	0
2580	1
734	1
1058	0
10026	0
3175	0
6125	0
1015	0
3076	0
537	1
5736	0
8403	1
8626	0
4522	0
2176	0
2763	0
1476	0
10715	1
7181	1
3427	1
11067	0
4514	1
2405	1
8875	0
8753	0
5445	0
9300	0
185	0
7054	1
5039	1
9546	1
3600	0
9975	0
11146	0
8618	1
7089	0
11064	0
8024	1
1915	1
9059	1
8025	1
11250	1
5458	0
7174	0
3202	0
5035	0
11323	0
2467	0
10878	0
9515	0
5566	0
1277	0
3103	0
2209	1
4644	0
7750	0
8619	1
5450	0
4073	0
5948	0
7774	1
11107	0
4625	1
5066	0
3514	0
9058	1
4062	0
5563	0
7569	0
9334	1
8408	0
7288	1
3523	0
4054	0
8063	1
10347	0
679	1
8613	1
2247	0
8347	0
6476	1
6395	0
9752	1
6711	1
11139	0
782	1
1896	0
9824	1
2190	0
3496	1
6716	0
7831	0
11307	1
2971	1
10821	1
7278	1
5758	0
8191	0
2918	0
2335	0
149	1
3715	0
7811	0
164	1
80	0
6877	1
6445	0
3512	1
1785	0
1663	1
769	0
92	1
1610	1
10064	1
7960	0
729	1
9060	0
2180	0
6794	1
2559	0
2026	0
4893	1
5552	1
2848	0
2684	1
11218	1
7555	0
5234	1
5351	1
4936	0
6496	1
9022	0
8447	1
445	0
1548	1
8028	0
2526	1
380	0
9265	0
1981	0
9211	1
2271	1
3384	1
9998	0
6820	0
3601	0
5162	1
4946	0
4116	1
5859	1
738	1
10409	1
11083	1
5757	1
11034	0
5790	1
4622	0
4100	1
1546	1
7767	0
4175	0
3792	1
2350	0
4875	0
9568	0
10258	0
6886	1
7152	1
4051	0
9407	1
23	1
983	0
10591	0
2987	0
3960	0
11006	1
10606	1
11055	0
9904	0
1629	1
9953	1
6939	0
8078	1
9148	0
7078	0
8271	1
4584	1
4891	1
6000	0
7796	0
7087	1
2832	0
1870	1
2357	1
9806	1
11162	1
9926	0
3731	1
9765	1
3002	1
8924	0
920	0
9064	1
2173	0
10156	1
5155	1
7215	0
635	0
639	1
10146	1
3056	1
5021	0
2743	0
2498	0
1149	0
8041	0
9839	1
3756	0
10183	0
607	0
3403	1
8481	0
2664	1
488	1
6729	0
7721	0
1371	1
421	1
8500	0
7552	0
2198	1
8112	0
1557	0
5623	0
2019	1
3307	0
10937	0
5321	0
9051	1
7483	0
87	1
10631	1
1853	1
9344	1
5226	1
2781	0
1694	1
838	1
3096	0
10251	1
11205	0
11324	1
3272	1
5902	0
6214	0
395	1
10812	1
7847	1
8776	0
6892	0
5599	0
10679	0
7160	0
468	0
6997	1
10171	0
5687	1
9131	0
9918	1
10761	1
7352	0
3323	1
4843	1
10604	1
901	1
9498	1
4215	0
4706	0
7330	1
10396	0
11110	0
8164	0
8585	1
8005	1
9938	0
7462	0
11012	0
4424	0
9140	1
4609	1
1780	0
1213	1
9264	0
2439	1
8166	0
10992	0
8773	1
5905	0
10016	1
4774	1
5624	0
5797	1
259	1
5114	1
2134	0
1740	0
11358	0
3424	1
7689	1
1335	1
6810	0
6326	0
4852	0
6137	1
741	0
9415	1
10066	0
10609	0
7836	1
7091	1
2765	0
9130	1
10100	0
7519	0
10912	1
9862	1
4148	0
5408	0
10697	0
1255	1
10150	1
2716	1
5179	1
8708	0
2800	1
8438	1
4701	0
8361	1
3408	1
9548	1
862	1
4956	0
5922	0
1710	0
2406	1
7897	1
4835	0
10014	1
5993	1
4971	1
7247	1
5237	1
3282	0
11174	1
6007	0
11380	1
7297	0
9712	1
7280	1
4662	1
2371	0
5783	1
1530	0
2428	0
3587	1
2670	0
11405	0
5187	1
11309	0
9897	1
10888	1
7305	0
2642	0
2507	0
4510	0
3690	1
7977	1
2584	1
6503	1
7266	0
4573	0
3001	1
8307	1
900	1
2626	0
302	1
4473	1
5982	0
5359	1
11388	0
4848	1
81	0
10491	0
3065	1
7331	0
4914	0
9392	0
6842	0
2931	1
8218	1
6811	1
10576	0
9727	1
70	0
716	0
6487	0
5129	1
1	0
7474	1
8397	0
10828	0
3655	0
4926	1
5690	1
6600	1
1801	0
2850	0
8340	0
6735	0
9210	1
3613	0
1746	1
6063	1
1471	0
6705	0
2338	1
3310	0
99	0
206	1
3265	1
5432	1
1566	1
5724	0
374	0
6543	0
3044	1
229	1
4264	1
766	0
10009	0
5218	1
3090	1
4061	1
3768	0
4895	1
5449	1
7983	1
5581	1
1307	0
6691	0
6623	1
15	0
1526	1
9905	0
5868	1
4410	0
10263	1
11170	0
4250	1
10480	1
10433	0
4224	0
8320	1
4288	1
6134	1
5683	0
9981	0
4287	1
7981	0
7448	1
2631	0
7019	0
6791	0
6828	1
5685	1
3479	0
2081	1
8027	1
9567	0
6773	0
4353	0
3706	1
9753	1
8667	0
11271	1
4607	0
597	0
8368	1
925	1
6087	1
3088	0
9920	0
6624	0
3197	1
9167	0
246	0
2667	1
6471	0
5382	1
7150	1
5244	1
5786	1
11415	1
8299	0
6965	1
8226	1
772	0
8485	1
7040	1
2966	0
5110	1
11420	1
6204	0
3136	0
7537	0
8040	1
2697	0
3526	1
9306	1
8032	0
4798	0
9823	1
7164	1
1957	1
816	0
7026	0
703	0
1387	1
7375	0
11001	0
7163	1
1708	1
5634	0
8208	1
5668	1
9031	0
1197	0
2628	0
5385	0
4239	1
10794	0
3423	0
2288	1
9992	1
4764	1
8785	0
7885	1
3245	0
6869	1
822	0
9506	0
2496	1
1748	1
659	1
8953	0
7510	1
7701	1
8732	0
7417	0
6064	1
1313	0
10426	0
3365	1
5140	0
6059	1
5801	1
10822	0
2258	1
370	1
5787	1
9466	0
3	1
3632	1
10306	1
1420	0
3802	0
8506	0
3729	0
9118	1
10367	1
11385	0
6455	0
359	1
1762	1
2609	0
7400	0
2585	1
6725	0
1774	1
5495	1
1232	0
10410	1
5220	1
5379	0
3198	0
1618	1
5419	1
10725	1
6564	1
8826	0
6479	0
8007	0
194	0
3972	1
5426	1
3617	1
4792	0
6033	1
6618	0
9560	0
8813	0
10127	1
5307	1
9290	1
7924	0
10517	1
6145	0
2491	1
8611	0
6492	0
10717	0
9044	1
5239	0
655	1
371	0
2717	0
5516	1
2871	1
10836	0
2045	1
6707	0
7516	1
2351	1
136	0
7678	0
11014	0
8752	1
6119	1
3116	1
3947	1
3584	1
3119	1
1578	0
1457	1
3865	0
6574	0
10823	0
1452	1
9374	1
499	1
169	0
5677	1
9762	1
11172	0
9997	1
6676	1
9391	1
2692	1
3724	0
2650	0
10453	0
5391	1
110	1
8861	1
3144	1
4527	1
7716	1
7646	1
8994	0
9313	1
556	1
9236	0
11220	0
4646	1
9695	1
8268	1
8553	1
1368	0
7420	0
6427	1
1339	1
9013	0
9623	1
5418	0
604	0
8468	1
3077	0
10635	0
2220	0
4272	1
8037	1
10839	0
9977	0
3094	1
1884	0
7819	1
11211	1
8108	0
4085	0
3377	1
10925	0
5028	1
2942	1
10874	0
2204	0
3783	1
559	1
6027	0
7348	0
8831	0
773	0
428	0
6341	1
4296	0
2726	0
7436	1
2511	0
3468	0
1773	0
2978	1
4117	1
6346	1
7021	1
4059	0
5932	0
3511	0
9850	1
9544	1
4687	1
3320	1
7390	1
9629	0
3420	0
3005	1
4438	0
7717	0
4145	1
2829	1
4452	1
7303	0
140	0
10657	1
11191	1
6222	1
530	1
3059	1
9733	1
11185	0
5175	1
8331	0
404	1
8660	0
3557	1
8653	0
8948	1
7069	1
9435	0
672	1
6906	0
3052	0
6343	1
4404	0
6099	0
9024	1
7088	1
8812	1
2484	0
3844	1
7386	1
3891	0
3097	0
2368	0
1914	0
6348	1
275	0
8656	0
1911	0
8898	1
5337	1
5835	0
9773	0
2499	1
7285	0
1017	1
74	0
10372	0
10665	0
8129	0
8781	1
1771	1
10986	0
2061	0
7998	1
1758	0
8370	0
1581	1
7233	0
8592	1
182	0
9966	0
7500	0
1122	0
6901	0
3344	0
145	1
5830	1
4661	0
2643	0
256	1
6462	0
3449	0
4806	1
9367	1
6591	0
7424	1
266	1
4234	0
4925	1
9184	1
10311	0
4487	0
8627	1
2836	0
6489	1
1948	0
4436	0
2675	0
10474	0
10853	1
8045	1
564	1
2548	1
5852	0
7196	0
9677	0
44	1
5864	0
3104	1
8333	1
88	0
9043	1
643	0
11189	1
8999	1
7235	0
216	1
7214	0
5693	1
5489	0
282	0
3274	0
5856	1
1223	1
2596	1
6598	0
8431	1
3692	1
9133	0
5105	1
3127	0
10339	1
5884	1
10482	0
9134	0
11070	0
9776	0
318	1
1505	0
10976	0
1065	0
9115	0
2166	1
7837	0
10695	0
1442	1
8317	0
10093	1
10746	0
10866	1
430	1
10933	0
3786	0
8799	1
2110	1
285	1
7492	0
334	1
3905	0
3710	1
1990	0
1027	0
2984	1
4965	0
10936	1
3814	1
7429	1
10638	1
3588	0
8890	0
9594	0
6669	0
11381	1
4693	0
6070	0
8583	1
8723	1
3480	0
10233	0
6769	1
5945	1
10950	0
8815	1
4050	0
5597	1
3578	0
1516	0
1209	0
9957	1
10359	0
5662	0
10739	0
4989	1
6970	0
1482	1
7133	1
5804	0
8334	1
10161	1
10817	1
7524	1
8155	0
1825	0
10803	0
11237	1
4521	1
1025	1
10447	0
5918	1
9930	1
9091	1
2452	0
3499	0
5822	0
8964	1
28	0
6592	0
11042	0
2186	0
10110	0
4753	0
7389	1
6353	1
1112	0
3079	1
6709	0
4915	1
6713	0
172	1
2106	1
11281	1
5292	0
3146	1
5534	0
400	1
8049	0
8751	0
9711	0
3456	1
3011	0
2996	1
2782	1
7626	0
9400	1
6127	0
8693	1
6535	1
2677	1
6784	0
5766	0
8552	1
8284	1
4307	1
2232	1
10791	1
9278	0
90	1
9619	0
8811	0
2032	0
3563	0
1929	0
541	1
3181	0
8237	1
6115	0
5659	1
1811	1
6482	1
5955	0
8827	0
9852	0
10172	1
7017	0
10720	0
1918	0
6875	0
10621	1
5312	0
5174	0
5537	0
2842	0
4993	1
3409	1
1283	0
7995	0
9366	0
10989	1
7216	1
1719	1
2783	1
9922	1
7376	1
3707	0
1114	1
6523	1
6917	1
1947	1
5923	1
1035	0
7252	1
3635	1
7098	1
7679	0
2315	1
4888	1
7453	0
340	0
9693	1
3436	1
6436	1
3521	1
2884	0
7081	1
4413	0
10429	0
3371	1
941	0
5177	1
10458	1
8342	1
2950	1
3171	0
8227	1
7147	0
4549	0
2898	0
1275	0
358	1
1543	0
3196	0
5049	1
7922	1
7901	0
8414	1
2554	1
376	1
970	1
10840	1
5500	1
3399	1
8828	0
1285	1
5247	0
8985	0
1187	0
7869	0
7534	1
2311	1
695	0
9579	0
8673	0
2179	0
5297	0
1200	0
5651	0
7647	0
4980	1
8735	0
9347	1
8520	0
5294	1
7155	1
2440	1
6071	1
3345	1
10170	0
5343	0
3694	1
3383	0
7272	1
2150	1
7600	0
2392	0
1162	1
7792	1
10277	0
10451	0
6870	0
11266	0
7904	0
11182	0
1633	0
2560	0
9877	0
7950	1
7059	1
11090	1
4034	0
2181	1
53	1
2354	0
7289	0
6022	0
2683	1
7001	1
9302	1
5840	0
9993	1
5739	0
7322	1
837	0
4463	1
10302	1
3450	1
4132	0
2519	0
8709	1
577	1
935	0
966	1
3438	0
8441	0
9420	1
1838	1
10058	1
7009	1
343	1
10677	1
4660	1
3102	1
3006	1
3779	1
6832	1
916	1
7715	1
6902	0
5508	1
3618	0
8303	1
11379	0
1259	0
8727	0
10755	1
471	1
728	0
1050	1
8691	1
7016	0
957	1
8099	0
6897	1
7670	0
1443	1
8256	1
1955	1
8048	0
8726	0
3581	0
10328	1
5298	1
46	1
2333	1
1466	0
11075	0
4546	1
9716	0
2660	1
9742	1
1728	0
9072	0
7064	1
6153	0
4360	0
8386	0
10360	0
8508	0
9327	0
6948	1
11303	0
10282	0
8400	0
3474	0
6025	1
6745	1
1902	0
2269	0
7691	1
4344	1
9899	0
3908	1
4525	1
11087	1
220	1
6619	0
8597	1
3012	1
2894	1
904	1
3135	0
10085	1
6049	1
8429	1
1834	0
522	0
3621	1
1178	1
1379	1
19	1
8524	0
608	0
2980	1
4195	0
2905	0
1429	0
6915	0
10199	0
1749	0
9725	0
8603	0
6061	0
1109	1
1203	0
9121	1
2633	0
2773	0
7672	1
11062	0
5515	1
6281	0
10078	0
10991	0
10560	0
7797	1
7482	0
7281	0
1205	0
3382	1
3967	0
8101	1
2701	1
1294	0
2083	0
4952	0
7470	0
3513	1
5146	1
3208	1
2339	0
9074	1
5886	1
4048	1
11390	0
3948	0
9991	1
1583	1
5044	0
10138	1
7857	1
10947	0
1469	0
1020	1
11179	1
1340	1
9556	1
9562	1
3352	0
252	1
2593	0
1604	1
5716	0
4161	0
2799	1
1836	1
5722	0
8824	0
9990	1
823	0
662	0
3013	1
10062	1
6904	1
1768	0
9002	0
9827	1
11216	0
9613	1
1031	1
8016	1
892	1
3797	0
2403	1
3722	0
3154	1
5167	1
3530	0
586	1
3300	1
10627	1
8189	1
3482	0
11132	0
5329	1
8125	0
8567	0
1078	0
1697	1
1323	1
11353	1
2381	1
9262	0
6732	1
10543	1
3213	0
1324	0
9120	1
6923	1
11374	1
726	0
8168	1
4471	0
8366	0
5819	0
5473	0
4049	0
1318	1
1718	0
6248	0
5587	1
10905	0
2322	1
1475	1
5253	0
698	1
685	0
4536	0
3674	0
8233	0
612	0
7890	0
9173	0
5235	1
8329	0
7931	1
2285	1
1898	1
9082	0
11036	0
10754	0
934	0
6793	0
3879	0
797	1
4371	1
1021	1
10833	0
5676	1
11370	1
7648	0
1246	1
2286	1
2731	0
3515	1
10955	1
8664	1
9326	1
7182	0
3981	0
9421	1
8539	0
2492	0
9005	0
10239	1
8004	0
4492	1
7582	1
3100	1
9895	0
4010	1
2171	1
1529	1
10235	1
8190	1
4632	0
5456	1
911	0
11155	1
349	1
9876	0
5518	0
10942	1
7925	1
10357	1
6922	1
6985	0
2384	1
4389	1
6089	0
5827	1
8903	0
10071	0
3184	1
518	1
3953	0
3702	1
7108	1
6264	1
3671	0
7739	1
4620	1
4418	1
1671	1
10057	1
3723	0
7756	1
9697	0
11377	0
8436	1
5441	1
8710	0
7697	1
7649	1
6430	1
3292	0
5733	0
9129	0
11033	1
921	0
2551	1
6728	1
6205	1
5507	1
5064	1
3622	1
2661	1
8806	1
9451	1
6928	0
10599	1
10081	1
3273	0
2734	1
10	1
4348	0
5043	1
7029	0
10027	1
10440	0
10783	0
2114	1
1128	1
7906	0
10144	0
4229	1
135	1
4752	1
83	1
208	0
9106	1
10553	1
3867	0
4301	1
625	1
2564	1
4803	1
10906	1
1349	1
10674	1
3252	1
8950	0
9175	0
9046	0
3451	0
2014	1
7326	0
6090	1
2355	0
2343	0
10600	1
5427	1
8405	0
7733	0
1576	0
4804	0
8300	0
8604	1
9032	0
1218	1
5782	0
8850	1
3533	0
9016	0
8302	1
11429	0
9341	0
526	0
1657	0
3381	0
5263	1
2302	1
2893	0
6576	1
10450	0
357	1
3974	1
7578	0
4564	1
8961	0
3770	1
2611	0
8378	0
4374	1
9094	1
2218	1
3725	1
122	0
189	1
10421	0
2878	1
1284	1
5284	1
272	1
6074	0
2760	1
1156	1
11011	0
4017	0
854	1
6693	0
11321	1
8830	1
8839	0
3720	1
1354	1
10514	1
5572	0
4713	0
1481	0
1886	0
11417	1
1120	1
4462	0
9615	0
7071	0
6365	0
10077	0
2196	0
10341	0
10097	1
8210	0
6419	0
3051	1
6165	0
3604	1
1996	1
4516	1
2576	0
7443	1
4036	0
4069	1
4023	0
3210	1
9864	0
1171	0
2817	1
5219	0
10500	1
961	1
851	1
9070	0
6662	1
2115	0
4423	1
2031	1
3537	0
539	0
2066	1
5117	0
3860	1
2792	1
9890	0
2053	1
2960	0
1484	1
8728	1
1517	0
10701	1
6688	1
3808	1
756	0
4943	0
7382	1
4169	1
5872	0
1926	1
9037	0
8670	0
1551	0
6097	0
5861	1
10390	0
5328	0
5170	1
5005	1
3190	1
6636	1
264	0
9	1
10699	1
7610	0
10449	1
2394	1
8694	0
73	0
7049	0
8805	0
7327	0
2612	1
10915	0
9934	1
3024	1
660	1
10061	1
35	1
8002	0
6966	1
9978	0
558	0
6002	1
1105	1
8343	0
9066	0
8669	1
5355	1
8917	1
9525	1
1916	0
331	1
2393	0
5973	0
9660	0
8336	0
8346	0
7514	1
6218	1
197	0
5480	1
5958	1
8989	0
10835	1
10690	0
3151	0
2993	1
7731	1
2328	0
5540	0
6113	1
1485	0
6488	1
7735	1
3278	0
1905	1
3189	0
4078	0
10439	0
1330	1
8937	0
2374	1
10675	0
5133	0
7314	1
3873	0
10994	1
1744	1
853	0
9705	1
9163	1
1650	1
3890	0
4937	1
10596	1
257	0
436	0
4786	0
10013	0
325	1
7840	1
2741	0
580	1
11245	1
9223	1
9461	1
2256	0
5279	0
1552	0
9333	1
11366	0
2964	1
4724	1
8094	1
5602	0
796	0
6616	0
7876	1
2645	1
5912	0
8933	0
5118	1
6775	0
8791	0
4679	1
6736	1
8659	1
6555	1
7256	1
3115	1
11410	0
1963	1
7933	1
8932	0
4222	0
10848	0
4464	0
6987	1
4879	0
11078	1
2752	0
10931	1
3003	0
8184	1
2482	0
8315	1
5802	1
2039	1
10408	1
